Name,Product,Informed consent,Privacy,Information security,Physical safety,Trust,Sustainability,Other
P1,Felyx,"App requires participation of the user in the data gathering process, no other option given.",Data is not stored locally so data safety systems must be explained explicity.,Systems should explain what steps are being taken to make sure the data is stored safely.,Indirectly has an effect on physical heavy machinery so an infiltration by hacker may lead to injury,Reflective on brand image.,Sustainability not mentioned beyond the fact that Felyx is electric powered.,
P2,Felyx,"Especially from a user's point of view, they should be aware that Felyx scooter is using tailored advertising on the scooter being used by the person. This is for the simple reason that it may affect the experience of the using the scooter but also the emotion and feeling that the user may be feeling in the experience too.","When it comes to privacy from the user, they should be given an option of full privacy or not (just like cookies on a website). This must be fast and to the point. When it comes to privacy from the company, the company should be able to have control over the ad that is being displayed on the scooter.","Concerning information from the user, it should stay as anonymous as possible and their information should not be able to be sold to other companies or used for other purposes. Concerning the information of the company, it should be similar of that with the user, but there should be an agreement between felyx and companies with ads to agree on what information from the company can be used or not.","Physical safety for the user is very important too. The ads should not in any way harm or distract the user from the driving. In my opinion this would lead to implementing the ads in a location that the user is not able to influence or interact with it in any sense. There is no physical safety here from the company, since they aren't physically in the scooter either.","This is closely related to the consent, I believe. When the user gives consent to the company to use these ads on their scooter, they show they trust this company with their information and with their experience on the felyx. If this trust is broken in any way, the user will have a negative attribution to this experience leading to the company loosing a costumer.","As part of the 21st century. I believe sustainability should be involved in every step of the process and integrated in the product, even if it is not the priority of the user.",Not that I can think of.
P3,Smart cabin,"In the design of the smart cabin, the comfort levels of the passengers are measured. It is important that passengers are aware of this and can turn off this feature when they don't consent with it. This can be achieved by displaying a message on the touchscreen in fron t of the passenger when the flight starts. A simple message is shown that anonymous data is collected on the passengers comfort to make their flight even more enjoyable. Users can press Yes or No to the question whether they want this feature enabled or not. In addition, passengers can be adviced they book a flight in a plane that hase a ""smart cabin"", but are able to disable the smart features when they want when booking the flight. ","To make the machine learing of the smart cabin more effective, some information about the passenger might be needed, for example the weight and age of the passanger (older passengers are more likely to be cold and heavy passengers might wiggle on their seat more often). This data must be filled in by the passenger, but is able to be anonymized. What is also important is that heat camera's used have very low resolution, so that the passenger is not recognizable in the picture. Another thing to consider is that a passenger that is very uncomfortable in a flight (e.g. due to an illness) gets visited by the flight attendent a lot because of how the system works. This might be noted by other passengers and can cause the uncomfortable passenger to feel like he/she is watched and/or judged bu other passengers by exposing his/her potential illness to the whole cabin. ",It is important to make use of a closed system within the airline company for sharing the data with the main server and not use publically accessable services. In flight systems should not be accessible to passengers and be password protected or with a changing code (e.g. a new code for every flight) or even multi level verification (e.g. with a physical key). Another possibility could be to make the comfort meassuring system seperate from the pasenger registration system so that data on comfort level are harder to link to a certain passenger in case the system gets hacked anyway. ,"Passengers must never be harmed by the smart systems in place. For example in the case of pressure sensors in the seats, a insulating material must be used to shield the passenger from the electronical components in case of a short-curcuit. In addition, wireless communication between seets, computer and flight attendence must not conflict with other communications the plane makes with the ground or other planes (e.g. air traffic controlls) to ensure safety of the flight. ","In the case of a smart cabin in an airplane, trust mostly concers the trust passengers have in the airplane and pilots. Therefore, the trust of passengers in the smart cabin system can get overlooked. Trust in the system can be increased by explaining what is collected and why and to ask permission for this. In addition, when passengers are found to be 'uncomfortable' by the system, passengers must have the ability to not ask for a flight attendent to come by, so they don't have to lay their comfort levels all by the AI system (but still have a say in how they think they feel). ","Flying is bad for the environment. Adding even more smart features and thus electronics does not make it less bad. In addition, more electronics means more energy consumption. This has to be taken into account and maybe partly mitigated in the design of the system (e.g. using greener materials or make sure the electronics can be recycled easily). A potential benefit of the touchscreens in front of the passengers could be to display information on emisions caused by the flight to make passengers more aware of the damage they do to the environment. ",
P4,Smart Home,"Informed consent for a smart home is very complex, since in basically all smart homes many different products made by many different companies can be found. This means that each product will have its own functionalities and its own terms of use. How much each product tracks of the user, how much it sends to a cloud somewhere or even when it is turned on or off will differ per product. The intentions of each company can also be different which will affect how much the product tracks or does not track. For example, you could have a TV made by Sony that only sends data about when it is turned off or on and in the same house have a fridge that tracks all of its contents and shares your food preferences with Samsung. So, within a house many different terms of use can be relevant which means the user has to give many different informed consents to be able to use all of his products and KNOW what they do. This is currently exactly the problem, since terms of use are incredibly long texts and virtually no-one has the time or motivation to read all of the terms of use of their products. Most people would not even read 1 term of use. 

This is a problem because companies track more than you are aware of if you don't read the terms of use. Even IF you read the terms of use, they are often hard to understand and are formulated in a vague way where a company can have their intentions legally in the terms of use but sometimes so hard to understand that you wouldn't understand if you would even read the terms of use. This totally defeats the 'informed' part in 'informed consent'.

To improve informed consent, it would be best to have 1 company deliver all the smart products in your home, similarly to how Google has many apps simultanously on a person's phone. Only having to deal with 1 company makes it easier to understand the companies intentions and you will have research to do as a consumer. A BIG downside to this however, is that you are very much dependent on this 1 company for the functionality of your smart home. If the company suddenly decides to start tracking more of you than you are comfortable with, you are forced to switch to different products which can be a BIG task if you have to change all your appliances at once. 

Informed consent gets even more complex when you have guests over. Maybe you agree with your Amazon Echo listening to you all day, but what if a friend comes over and start sharing a sensitive story of how his wife cheated on him? He probably would not want Amazon Echo listening to that, but he might not even know the Amazon Echo is in the house (if he even knows what the products is and what it does). Informed consent goes beyond the product owner and is incredibly hard to keep intact.

To conclude, the responsibility for good informed consent lays with the companies producing the products, which is bad, since they is really no one to stop them if their intentions are wrong, ESPECIALLY if it is in a product category where the company has no competitors the consumer can switch to (for example: Facebook owning the VR market with the Oculus Quest 2)","Privacy is a very big issue with IoT devices, especially in smart homes since these are places where people spend a lot of time with their close ones. Your home is the place where you can feel safe and where you can do what you want without others noticing. The more IoT devices added, the less you will be 'unnoticed'. For example, if you like to talk to your smart TV to change the volume or change the channel, your TV has to always be listening to make sure it hears you when you are speaking to it. This means the microphone is always on. This can raise very big privacy issues, especially when your smart TV is linked to your personal Google or Facebook account. If you are very passionate about a sports game and start shouting racial slurs, your TV will hear this. As a consumer, you just have to hope your TV does not send this audio to a cloud somewhere. The same problem arises with smart cameras in the home. With smart cameras connected to the internet, the feed from the data is streamed to a cloud server somewhere, so that you can for example watch it on your phone. But what if you just happen to like to walk around naked in the house? Would you want Google to know the colour of your underwear? Very often, people forget these things or simply don't want to think about it because the added benefits of their IoT products are just too good. But this is dangerous, because it means we get used to it. And when we get used to Google knowing when we come home and when we wear which boxer shorts, the boundaries get more vague and companies like Google can start to do more.

A good option for more privacy in the home would be switching to local data processing instead of working cloud services. This means all your data gets stored and analyzed within your own home and stays inside its 4 walls. This however is a more tech savvy option, since you will need to buy more hardware. You will need a data server that is always running and a PC that can always analyze the data and send instruction to all your IoT devices through your WiFi router. Also, the fact that e.g. Google has so much data from households all over the planet means they can easily improve their services. If all of your data is only processed in-house, it can only access your own data and cannot learn from other people's data. This means your system will be less functional.

To conclude, the more privacy you want, the more tech savvy you have to be and the more sacrafices you have to make. Loss of privacy usually goes hand in hand with added functionality, so the mass of people will chose the increased functionality, while losing their privacy in the process. Since most people willingly chose to give up their privacy or are even unaware they are doing it, it is up to the big corporations to responsibly respect the user's privacy. However, since they can achieve big financial gain with people's data, this will probably never be the case.","A smart home comes with many connected IoT devices. All these devices collect and send data. These products are usually made by companies that are very new to technology and do not have much experience with data security. For example a company like BOSCH who makes washing machines is just now applying hardware that can send user data over WiFi. If these big companies produce widely used products without applying good cybersecurity, many households are automatically targetable for cyber attacks. Already, many problems have occured with ransomware-attacks that block hospital equipment until the ransom is paid. This practice could also be applied to household devices. Imagine a hacker turning off your freezer and fridge and only turning them on again when you pay ‚Ç¨20 in bitcoin. What would you do? Pay ‚Ç¨20 or let your groceries die? If even Windows machines in hospitals get hacked by ransomware, it is incredibly scary to think how easily hackable our household appliance made by BOSCH and Miele will be. If a tech giant like Microsoft can't protect it's software, why would we expect a kitchen-appliance company to have good cybersecurity?

These possible attacks are scary, but there is so much more that can happen to your smart products. A tech savvy person with bad intentions could easily track what you are watching on TV and perhaps even access the camera that is built into your TV. He could then record you and possibly blackmail you for money. Or, since all smart products have chips inside of them to process requests etc, these chips could collectively be hacked and used to perform DDoS attacks or to mine bitcoin. Imagine your smart fridge getting slow to use because a hacker in Russia in mining bitcoin on it. It's absurd, but already happening.","A smart home can have many products that have mechanically moving parts. Think of a smart lock, a smart dishwasher, a smart washing machine or curtains that open and close automatically. Even products without moving parts can have an effect on the physical world. Think of your thermostat turning on the heating or your fridge turning on an air compressor. Things can go very wrong when these product start doing things the user didnt intend them to do. Imagine your smart lock automatically opening when your phone is in 3 meter range for 10 seconds. What if your child plays with the phone and leaves it somewhere near the door? Now your front door is unlocked. Or what a sensor in your thermostat breaks and the heating is turned on indefinitely while you are not home? Or what if your washing machine turns out while you cut off the water? This could create a fire hazard when the heating element is turned on without anything to heat up. Or what if your smartdoor doesnt function because the electricy cut off because the house is on fire? This would lock you up in a burning house.

Besides accidental dangers, products could also be taken over by someone with bad intentions. Similarly to how ransomwhere could block a products functioning, a hacker could also turn on your heating system to the maximum setting until you pay him ransom. ","The more IoT devices you own and use, the more trust you must have in the companies that produced the products you use. So, to optimally make use of a smart home, your collective trust in these companies must high. Also, like mentioned before, since it is unreasonable for someone to read the terms of use of all of his products, you have to resort to trust in the company. You hope they have your best interests protected and that all other people that bought the same product did their research so you don't have to. After all, if the Google home has more than 10.000 5 star reviews I can trust it right? We live in a society where technology has gotten so complex and anti-transparent that the average consumer can only hope the product respects the trust the user has in it. And since most of us are average consumer, we will do what everybody else does, which is buying the most functional products, regardless of whether we know what we are getting ourselves into.

How much you need to trust your products also depends on how many different product producers you are dealing with. For example if you own 8 smart devices, all from a different company, you are dealing with 8 different companies and you can trust these companies in different amounts. When one company starts to let you down in functionality or policy, you can exchange the product for a competitor's product. This gets more complicated if you have more centralized systems like the Google Home app that links all your devices. Generally, the more centralized the higher the ease of use. So again, it is a trade off of independence vs. functionality.","Sustainability is an incredibly difficult subject for a smart home with IoT objects. There are many arguments that IoT products improve sustainability, but also any arguments that say the exact opposite.

IoT improves sustainability:
A smart home with IoT devices collects data about the user's pattern and preferences. This data could then be used to know when the user gets home and leaves home and then automatically turn on and off the heating system. This is what Google Nest does. This saves energy.
It is also true that the data can give the user insight in his rituals and patterns, and when this information is visualized in a good way, the user can easily determine how sustainable he lives and in what areas the most sustainability can still be gained.
Also, IoT products can measure their own performance and measure if anything is out of the ordinary. When an IoT products knows enough about itself it can diagnose its own problems and maybe order spare parts before the original part breaks. Better maintenance provided by sensors and data allow products to last longer, which is good for sustainability.
Lastly, IoT products know a lot about their own usage and performance. This allows the product to automatically improve its energy usage. Since they are connected to the internet, your machine can also learn from a similar machine used on the other side of the world. All this data allows the product to function more efficiently.

IoT is bad for sustainability:
Of course, IoT products have more eletronical components and therefore cost more energy to produce. Electronical components are very hard to recycle which will create a lot of e-waste in the near future when all currently produced IoT devices start to be thrown away. Also, many materials needed for these components are rare materials like neodymium and cobalt which are found in very politically-unstable countries and areas.
Also, IoT products generally go hand-in-hand with capitalism. Your fridge isnt good enough if you cant play World of Tanks on it, so you need to buy the newest one. Because of rapidly improving technology, appliances will be more quickly swapped for the latest versions. Where back in the day a fridge was used for 30 years because all it did was cool things, nowadays it will be used for less time because you will need the latest technology to be able to live a 'modern life'.","I would like to emphasize that ethics in a smart home go beyond the person who lives in the house, and that this should be recognized more. Currently, the vast majority of society is unaware of all of the IoT products on the markets and of their capabilities. When these people visit a smart home, they should be aware they are potentially filmed or recorded. If I visit a friend's house, I do not want to worry about his Google Home listening to everything I am saying. A smart home with IoT products should be centralized, so that there is 1 control panel or app that easily allows the user to switch to different smart-modes. For example, 1 is no smart systems, 2 is basic smart systems, 3 is full tracking and autonomy. Whenever a guest comes over, you could easily lower the amount of tracking happening (but also losing some functionality in the process)."
P5,Nike gym shirt,The tee shirt will probably collect a lot of data from the user during its workout. This is all for the functionality of the app and to provide the user with information about his workout. However with installing the application they will probably not read the whole consent from which will be presented to them in the beginning. They will probably give consent even though they don't know what effect this has on their data.,The device also has the feature of tracking the location of the user. This has serious consequences on the privacy of the users as the app is able to constantly position and know where the user is and has been. ,"All the personal of the users data are stored in the cloud and compared with others for the algorithm the learn when to give a warning for example. if this dataset is not well protected, data could be leaked if someone is able to get through the security. Also the nike could sell data from the users from their database.","The device features batteries which cold be a threat to the physical safety of the user as its worn on top of the body. Also if the algorithm trains itself worn, then I could start giving bad suggestions or warning to the user. This could cause them to over-train or not properly ","If nike leaks or sells data, this could have serious consequences for the trust of the user.",How long will the technology last and how long will the tee last. The weight and materials of tee causes extra wear on itself which reduces the lifetime of the product. Frequent workouts will only increase this.,
P6,Corona Certificate,"‚Ä¢	Before the users start using the app, they should be asked for their consent. To make the consent informed, all the relevant and important information about the personal data use should be revealed to the users in a way that easy to understand, without too many technical terms yet with enough details. It should be interactive that encourage them to gain a perspective about the context such as why their data is important, benefits, possible risks that may occur etc. 
‚Ä¢	The parties that will have the access of the users‚Äô data should be clearly indicated as well as their roles and why these data important for them. 
","‚Ä¢	The users should remain anonymous to the other users. 
‚Ä¢	The app should not track the behavior patterns of the users such as having access to camera, microphone or the web browsing and purchasing history. 
‚Ä¢	The personal data of the users‚Äô have to be protected against any cyberattack. 
","‚Ä¢	There is a risk of processing the information without the users‚Äô knowledge or consent due to the remote and opaque data receivers that the smartphones are potentially in communication. 
‚Ä¢	DDoS attacks can be used as a distraction for actual data theft. The information about the users‚Äô certificates can be stolen and used to create fake profiles to violate rules, such as travelling without any legal right to do so, events without being vaccinated or recovered from covid-19.
","‚Ä¢	Possible misinformation (due to a cyber-attack or system malfunctioning) about the potential dangers around the user may eventuate in physical harm such as not giving right information about crowd nearby, showing the people that their status unknown as vaccine certificated. (Considering that even though people are vaccinated, they are not 100% safe because of the vary forms of covid variants.)
‚Ä¢	In case that the users are not able to provide the earned certificate in situations that require them to prove their eligibility to access certain services may put the users in trouble such as finding yourself in argument to convince the others that they actually have the certificate. 
","‚Ä¢	Imagine a situation that the user wants to use the advantage of being vaccinated but the application does not respond to the effort of the user to open the app. This would result in loss in trust in the application. 
‚Ä¢	If the information security of the network system is weak and cannot stand against the attacks of maliciously motivated people that can take control of their account and information, the users will lose their confidence in the app and the service. 
‚Ä¢	The predictions from the system should be reliable enough to keep the user by its side. 
","‚Ä¢	The concerns regarding the project‚Äôs sustainability aspect can be more social such as social cohesion. The Digital Vaccine Certificate may eventuate in losing the sense of belonging in a broader community for a while. Possible discrimination between the people who get vaccinated and people haven‚Äôt may occur in the societal level; therefore, the sense of community may get affected negatively. ",
P7,Smart cabin,"For the smart cabin assignment we need to monitor the passengers comfort/discomfort. In every way possible data on the passenger needs to be collected. Introducing a smart seat would mean that somewhere in the process, when booking the flight or at check-in for example, the passenger would need to agree that this data is being collected. Would there be a possibility to deny this data collection and in essence switching off the smart seat? What would be the consequences of choosing this, would you get lesser service from the flight attendants?","Depending on the data collection method(s) privacy will be more or less of a concern. When using cameras that detect facial expressions, or using microphones to record sounds to identify discomfort, this is obviously a large privacy concern. Using infrared or sensors in the seat to detect temperature, frequency of movements or pressure points, privacy seems less of a concern. When using cameras, including an Edge AI system could be beneficial, in this type of system data is processed locally and the images aren‚Äôt stored, only the data that needs to be collected. In this way cameras can be used to count for example. To minimize privacy concerns it is chosen to continue with IR cameras, also because these can be used for multiple purposes.","Hacked into the server, people can process and collect data regarding whether someone is sleeping, their body temperature and movement patterns. The data is linked to a particular seat and because of that this could be linked to the identity of the passenger when ticket data is also retrieved. An interesting part of this, is that the devices/sensors that are collecting data are part of the seat and therefore not user specific or secured with a user password. This means that the handling of the information and security of the system is the responsibility/task of the airline. ","Physical safety in Internet of Things context regards the effects that the actions of actuators can cause. In the proposed system, the actuators will not automatically cause a change. The needed information regarding the reason for discomfort and a suggestion for a suitable solution are shared with the flight attendant. The flight attendant is the one that provides a proposal to the passenger (e.g. additional water, a pillow, a blanket, etc.). Not many physical safety implications occur in this system. Suggesting a certain type of medicine to the passenger for air sickness could be a physical safety concern, depending on the dose and possible allergies or side effects of this medicine. Apart from the possible physical safety hazards for the passengers, providing or suggesting medicine as an airline could cause the airline huge problems in case something should happen to the passenger. ","As mentioned earlier, all data collection devices for the smart seat are provided and used by the airline and no use from personal devices is made. This fact might make it harder to make the passenger trust the system. Not only the passengers but also the flight attendants need to trust in the whole IoT system. The AI detecting discomfort at a certain passenger and deciding upon the type of discomfort needs to be accurate enough for the flight attendant to be able to assume the passenger is actually experiencing that type of discomfort.","Implementing a smart cabin and smart seats in aircraft would add even more electronic devices and sensors to the cabin of the aircraft which obviously is not great from a sustainability standpoint because of the large embodied energy of electronic components. However, the goal of the implementation of the smart cabin though, is to aid passengers and improve their comfort. Helping people hydrate, rest sufficiently and help in sickness, in some way contributes to SDG (Sustainable Development Goal) 3 - Good health and well-being. ",
P8,Permobil connected wheelchair,"It is important to understand that the medical data is very personal. When accepting a website cookie, you want to visit the website fast so you click OK. But for the wheelchair you have to read the consent form carefully because the data is so personal and medical. It should also be clear it will only be shared with you and your caregiver by choice. Not with third parties. To be sure the user understands the Informed consent I advice that the consent is discussed with a Permobil expert in person.","The wheelchair is used both inside and outside. So also in private situations. To limit privacy risk I advice to not use cameras, microphones and the GPS. The advantages do not win over the privacy invasion. Again it is medical data, that can not be shared with third parties.","For the hardware the risk is that other people will use the chair, that will mess up the medical data of the user. To limit that risk I advice to put a sensor in the wristband, that has to be within a small range of the wheel chair, for the wheelchair to log the data.
For the Network level, the wheelchair has to have it's own 5G network, to limit risks of fall out, missing data and the risk of being compromised by unwanted others.
","The Physical safety risk is very present. When the IoT system fails to work, the medical data will not be processed right and potential medical danger might be missed. That can mean harm to the user. And other risk of the IoT failing, can be that the wheelchair unexpectedly stops working which can be dangerous when it happens for instance on the street. To limit the risk I advice to add extra maintenance sensors that are connected with Permobil and periodical maintenance check-ups are to be done.","Trust is the most important concern. The user has to trust the IoT system that data is processed accordingly. And trust the system with their personal medical data. To gain trust  I advice that there are periodical check-ups with the caregiver, to make sure the data is still received accordingly and the care giver should walk through the data with the user, to show the user the data is received correctly. The personal contact will help with gaining trust from the user. The risk is that when the system fails one time, the user will have a very hard time to trust is again, since the information is so important for the user's health. And what is more important than health?","The IoT system will contribute to sustainability, because it makes the wheelchair a lot more personal and adds health benefits to the user. Thus the ownership feeling will increase and the user will be more careful with their wheelchair. To make sure this feeling continues when ever the user wants to sell/give their wheelchair to someone else, it should have a reset function. So the next user can make it personal again.",These were all the concerns I can think off.
P9,Hôtel Première Classe,"Since there will be sensors recording the voices and behaviour of the hotel guests, it is important these guests are aware of this and have consented. This Is something that should be checked by the responsible person at check-in, not via a form but in conversation for clarity. If the guests don‚Äôt agree there must be a way to completely isolate the one room they are staying in from the system and turn the sensors off during their stay. It also should be stated clearly that this system is used at the description of the hotel room before renting it.","This system monitors human behaviour behind closed hotel doors. If this behaviour is monitored it must only be used for the intended function of the system. This means that the sound recordings are only stored in a way that gives information on the user and the sound volumes, but cannot be listened to afterwards to determine what conversations were held in the hotel room. If an infrared camera is used to determine if there are actually people in the room and the sound is not just from the TV, the camera should be very low resolution to keep privacy in check. ","There is always a risk of privacy leaks in the hotel sector because guests provide a lot of information. This includes their contact details, payment method, passport details, roommates and with this system the behaviour of the guests. The hotel must take responsibility for these data and store them locally. If a cloud collection is necessary for the functioning of the system, they must take precautions to prevent leaks.","The IoT must function properly to provide physical safety to the people inside the hotel. If there is a danger like a fire in a hotel room that is not picked up properly by heat and smoke sensors, the alarms will not go off and the people might not get to safety in time.","Trust is very important in the field of physical safety, the alarms need to function properly. But it is also important (but less) for the hotel management. They need to be able to trust the system to conserve energy when there are no guests in a room, they need to be able to trust that the system will tell them if anything is wrong inside a room and they need to be able to trust that the system will tell them when it is time to clean the room because guests have left. If the trust is not there the hotel employees will check all of these things themselves and this will take a lot of extra time and energy from everyone. Also it might lead to worse customer satisfaction; an employee could walk into a room thinking it is empty when it is not.","This system will improve the sustainability of the whole hotel. It senses when the hotel rooms are empty and will then turn off any lighting. It can also adjust the room heating according to guest behaviour and alert staff when windows, doors or fridges are left open. ",- 
P10,Smart cabin,"The passenger agrees to the airliner‚Äôs terms & conditions upon purchasing a ticket. However, these are hardly read because terms & conditions are lengthy and repetitive documents. Therefore, the passenger‚Äôs infotainment system in the smart cabin could inform them once again before the flight starts.","The smart cabin is constantly monitoring information of the passenger. But instead of linking the data to a passenger, it can be linked to a chair number (storing the data separately). And instead of recording recognizable images of the passengers, the motion sensors may only record specific areas in a lower resolution.","The data can be stored temporarily, as it is only relevant for the duration of the flight. Furthermore, the data can be stored locally on the aircraft, because it is only required there. The advantage of local storage is that hacker are not able to access it via certain networks, reducing the risk of data leaks.","Errors in the system can cause sustained discomfort to the passengers. The risks are generally not severe, but uncomfortable nonetheless. Regular check-ups by the stewards in addition to the smart system‚Äôs care is able to control inaccuracies and failures in the system.","Besides using non-human actuators in this system (fans, lights, seat adjustment), the smart cabin can include the airline stewards to comfort the passengers. If instructed properly, they can follow up incoming data and personally help passengers. Flight anxiety is not an uncommon phobia and personal attention can support passengers in this regard.","If the smart system detects a passenger is out of consumables, that does not mean he / she requires a refill directly. The same goes for actuators such as temperature control. Non-electronic solutions are viable options for heat regulation as an example. Think of a blanket if cold or a drink if hot, instead of air-conditioning or seat-warming. Therefore, the system may give the passenger suggestions instead of direct action, giving the user a choice in the end.",-
